Date,Open,High,Low,Close,Volume,Adjustment Factor,Adjustment Type
2009-10-19,21.00612,21.00612,20.730426,20.837146,880800.0,,
2009-10-16,20.774893,21.103947,20.694853,20.92608,1503300.0,,
2009-10-15,20.508092,20.783786,20.410265,20.766,1224500.0,,
2009-10-14,20.170144,20.552559,20.125678,20.516985,1164700.0,,
2009-10-13,20.187931,20.223505,20.036744,20.116784,1112500.0,,
2009-10-12,20.161251,20.312438,20.107891,20.223505,637500.0,,
2009-10-09,19.938917,20.205718,19.698796,20.107891,1162100.0,,
2009-10-08,19.97449,20.134571,19.903343,19.92113,805800.0,,
2009-10-07,19.698796,19.930024,19.503142,19.930024,1076700.0,,
2009-10-06,19.556502,19.769943,19.351955,19.698796,1134800.0,,
2009-10-05,19.263021,19.485355,19.067367,19.467569,964200.0,,
2009-10-02,19.494249,19.494249,19.182981,19.227448,981200.0,,
2009-10-01,19.832197,19.983384,19.431995,19.592076,1428400.0,,
2009-09-30,20.223505,20.312438,19.565396,19.903343,2272900.0,,
2009-09-29,19.431995,19.654329,19.316382,19.547609,1372100.0,,
2009-09-28,19.147408,19.592076,19.129621,19.360848,904400.0,,
2009-09-25,19.165194,19.343062,19.067367,19.129621,697300.0,,
2009-09-24,19.236341,19.334168,18.987327,19.165194,904600.0,,
2009-09-23,19.565396,19.672116,19.236341,19.280808,921100.0,,
2009-09-22,19.529822,19.565396,19.254128,19.289702,891500.0,,
2009-09-21,19.245235,19.654329,19.191875,19.520929,933100.0,,
2009-09-18,19.200768,19.360848,19.165194,19.351955,1628300.0,,
2009-09-17,19.378635,19.378635,19.156301,19.182981,1273800.0,,
2009-09-16,19.129621,19.351955,18.933967,19.351955,753300.0,,
2009-09-15,19.316382,19.351955,19.014007,19.165194,1088700.0,,
2009-09-14,19.298595,19.360848,19.058474,19.334168,1107500.0,,
2009-09-11,19.129621,19.298595,19.129621,19.263021,895500.0,,
2009-09-10,19.022901,19.218555,18.898394,19.147408,1189300.0,,
2009-09-09,18.827247,19.263021,18.791673,19.058474,1265800.0,,
2009-09-08,18.951754,18.951754,18.693846,18.827247,494200.0,,
2009-09-07,18.933967,18.933967,18.933967,18.933967,0.0,,
2009-09-04,18.7561,18.933967,18.747206,18.933967,503300.0,,
2009-09-03,18.693846,18.800567,18.560446,18.800567,1074600.0,,
2009-09-02,18.78278,18.898394,18.658273,18.684953,655800.0,,
2009-09-01,18.871714,19.085154,18.7561,18.853927,1010300.0,,
2009-08-31,18.791673,19.094048,18.7561,18.951754,854800.0,,
2009-08-28,18.898394,18.91618,18.7561,18.853927,908900.0,,
2009-08-27,18.533766,18.880607,18.427045,18.80946,641600.0,,
2009-08-26,18.613806,18.80946,18.480406,18.587126,707500.0,,
2009-08-25,18.542659,18.720526,18.498192,18.613806,608600.0,,
2009-08-24,18.773887,18.773887,18.418152,18.498192,1161100.0,,
2009-08-21,18.86282,18.898394,18.587126,18.720526,1444900.0,,
2009-08-20,18.649379,18.711633,18.355899,18.67606,704400.0,0.99712,17.0
2009-08-19,18.223215,18.648867,18.170009,18.471512,773700.0,,
2009-08-18,17.841902,18.20548,17.602473,18.178877,850700.0,,
2009-08-17,17.957183,18.107935,17.868506,17.957183,1069500.0,,
2009-08-14,18.303025,18.356232,17.921712,18.12567,779000.0,,
2009-08-13,18.107935,18.276422,17.948315,18.249819,393100.0,,
2009-08-12,17.912844,18.249819,17.815299,18.12567,1184000.0,,
2009-08-11,17.93058,18.072464,17.797564,18.001522,750000.0,,
2009-08-10,17.974919,18.107935,17.912844,18.019257,604900.0,,
2009-08-07,18.232083,18.28529,17.948315,18.036993,1359100.0,,
2009-08-06,18.099067,18.20548,17.806431,18.143406,1372300.0,,
2009-08-05,17.992654,18.178877,17.779828,18.12567,993100.0,,
2009-08-04,17.983786,18.187744,17.868506,18.134538,1275700.0,,
2009-08-03,17.513796,17.629077,17.079276,17.611341,915200.0,,
2009-07-31,17.504928,17.708886,17.159086,17.487193,1107900.0,,
2009-07-30,18.418306,18.418306,17.345309,17.522664,1097600.0,,
2009-07-29,17.558135,18.214348,17.558135,17.983786,1781100.0,,
2009-07-28,17.052673,17.238896,16.990599,17.114747,686600.0,,
2009-07-27,17.159086,17.22116,16.910789,17.070409,503500.0,,
2009-07-24,16.901921,17.141351,16.822112,17.123615,615400.0,,
2009-07-23,16.715699,17.185689,16.59155,16.981731,1086600.0,,
2009-07-22,16.937392,17.203425,16.59155,16.662492,1238500.0,,
2009-07-21,16.733434,17.02607,16.662492,16.94626,1078300.0,,
2009-07-20,16.884186,16.937392,16.494005,16.59155,990800.0,,
2009-07-17,16.431931,16.839847,16.405328,16.830979,1428000.0,,
2009-07-16,16.12156,16.47627,16.068353,16.414195,1094800.0,,
2009-07-15,16.227973,16.298915,16.015147,16.210237,1338200.0,,
2009-07-14,16.024015,16.219105,15.935337,16.165899,659500.0,,
2009-07-13,15.68704,16.157031,15.68704,16.059486,818400.0,,
2009-07-10,15.775718,16.006279,15.562892,15.713644,1072800.0,,
2009-07-09,15.802321,15.944205,15.642702,15.820057,928000.0,,
2009-07-08,16.210237,16.254576,15.784586,15.899866,1059600.0,,
2009-07-07,15.731379,16.352121,15.731379,16.139295,1180800.0,,
2009-07-06,15.722511,15.855528,15.580627,15.775718,769600.0,,
2009-07-03,15.802321,15.802321,15.802321,15.802321,0.0,,
2009-07-02,15.997411,16.032882,15.731379,15.802321,577100.0,,
2009-07-01,15.669305,16.325518,15.669305,16.174766,955800.0,,
2009-06-30,15.988544,16.094957,15.598363,15.731379,1250400.0,,
2009-06-29,16.112692,16.130428,15.793453,16.024015,850300.0,,
2009-06-26,16.112692,16.183634,15.873263,16.112692,2315400.0,,
2009-06-25,15.49195,16.352121,15.49195,16.192502,1175400.0,,
2009-06-24,15.704776,15.713644,15.41214,15.518553,1457500.0,,
2009-06-23,15.944205,15.961941,15.651569,15.678173,1048600.0,,
2009-06-22,16.077221,16.165899,15.935337,15.961941,761800.0,,
2009-06-19,16.39646,16.59155,16.219105,16.236841,1800600.0,,
2009-06-18,16.148163,16.494005,16.112692,16.31665,856800.0,,
2009-06-17,15.890999,16.449666,15.864395,16.174766,960800.0,,
2009-06-16,15.961941,16.130428,15.731379,15.775718,961800.0,0.5,13.0
2009-06-15,16.06392,16.161465,15.744681,15.882131,832600.0,,
2009-06-12,16.449666,16.462968,16.112692,16.205803,702200.0,,
2009-06-11,16.028449,16.675794,15.997411,16.400894,1466800.0,,
2009-06-10,15.957507,16.006279,15.828924,15.944205,790200.0,,
2009-06-09,16.214671,16.214671,15.784586,15.84666,659400.0,,
2009-06-08,16.108258,16.281179,15.828924,16.12156,840800.0,,
2009-06-05,16.157031,16.241274,15.678173,16.130428,1146200.0,,
2009-06-04,16.538344,16.578249,15.899866,16.12156,1360800.0,,
2009-06-03,16.653625,16.693529,16.290047,16.471836,1497200.0,,
2009-06-02,16.600418,16.839847,16.125994,16.786641,1518000.0,,
2009-06-01,16.649191,16.733434,16.427497,16.693529,1004800.0,,
2009-05-29,16.378725,16.462968,16.25901,16.449666,1425800.0,,
2009-05-28,16.33882,16.489571,16.196936,16.347687,596800.0,,
2009-05-27,16.556079,16.609286,16.263444,16.285613,705200.0,,
